iter	Quantile:alpha=0.5
0	70.67039361
1	69.3962941
2	68.24609902
3	67.11377245
4	66.10500651
5	65.08981281
6	64.19405648
7	63.25923087
8	62.42176648
9	61.66607097
10	60.84868822
11	60.06920813
12	59.30750279
13	58.62852443
14	57.95224141
15	57.3458223
16	56.72402156
17	56.1713107
18	55.66229108
19	55.15943868
20	54.6665026
21	54.21878546
22	53.84405754
23	53.41936177
24	53.00010593
25	52.6431187
26	52.34394359
27	52.01759338
28	51.70707866
29	51.43138369
30	51.20302792
31	50.9446635
32	50.68983792
33	50.46921973
34	50.24567061
35	50.04270422
36	49.84104322
37	49.68330657
38	49.48850714
39	49.31491376
40	49.15657885
41	48.99409177
42	48.83214725
43	48.66843978
44	48.52362426
45	48.37462667
46	48.25465281
47	48.11865194
48	48.02726981
49	47.91462103
50	47.82328858
51	47.72583301
52	47.63792839
53	47.56100877
54	47.47377407
55	47.40398782
56	47.29914804
57	47.18876998
58	47.11983409
59	47.03705279
60	46.96283544
61	46.89018398
62	46.82482168
63	46.76323684
64	46.70955655
65	46.65156135
66	46.60381064
67	46.56377948
68	46.5117624
69	46.44777514
70	46.40290507
71	46.35581277
72	46.32234061
73	46.27709314
74	46.23975102
75	46.2111683
76	46.18120727
77	46.14534809
78	46.11081296
79	46.07930965
80	46.01921484
81	45.98182058
82	45.94203386
83	45.90799205
84	45.87426137
85	45.85160396
86	45.82525111
87	45.80376112
88	45.779655
89	45.75739055
90	45.73398755
91	45.71041683
92	45.67467322
93	45.65357807
94	45.63501291
95	45.6194705
96	45.57922667
97	45.56502963
98	45.54323519
99	45.52879614
100	45.51387816
101	45.4994562
102	45.48490192
103	45.47233308
104	45.45670529
105	45.43348648
106	45.41059532
107	45.3970784
108	45.37663587
109	45.3617502
110	45.3429127
111	45.32819649
112	45.30685788
113	45.28990912
114	45.27558479
115	45.25048093
116	45.2361324
117	45.22667908
118	45.21455245
119	45.19272589
120	45.18266146
121	45.16707724
122	45.14006529
123	45.11694006
124	45.10361818
125	45.0874206
126	45.06901378
127	45.0536957
128	45.04203029
129	45.02621633
130	45.00677747
131	44.97154427
132	44.95368819
133	44.93679685
134	44.92792848
135	44.91919311
136	44.90857528
137	44.88471634
138	44.84742024
139	44.83586122
140	44.81157183
141	44.77685907
142	44.76215433
143	44.75078201
144	44.73140025
145	44.7201357
146	44.71596141
147	44.70322395
148	44.68278906
149	44.67529902
150	44.65724934
151	44.6462261
152	44.63605727
153	44.62302715
154	44.61041194
155	44.59251378
156	44.58101343
157	44.56778467
158	44.55746261
159	44.54696324
160	44.54007989
161	44.51134341
162	44.49686423
163	44.48741323
164	44.4774022
165	44.46840632
166	44.46275568
167	44.45464895
168	44.43756029
169	44.40762158
170	44.39349827
171	44.36398192
172	44.34946945
173	44.33893361
174	44.32347952
175	44.31332095
176	44.28953987
177	44.27897626
178	44.26014584
179	44.23992113
180	44.21320819
181	44.19954419
182	44.19186363
183	44.18235597
184	44.1684806
185	44.15851034
186	44.14441103
187	44.13774302
188	44.11957346
189	44.10330174
190	44.08228892
191	44.07529705
192	44.05470697
193	44.04560377
194	44.03854788
195	44.025625
196	44.01227545
197	44.00204491
198	43.9895501
199	43.97951485
200	43.96724555
201	43.95422098
202	43.92350074
203	43.91737379
204	43.887154
205	43.86751817
206	43.8592517
207	43.85040256
208	43.83080015
209	43.82372746
210	43.81023961
211	43.80099506
212	43.77410391
213	43.76248804
214	43.75353282
215	43.73573364
216	43.72241675
217	43.6980983
218	43.69110802
219	43.68322516
220	43.66670574
221	43.66020501
222	43.63680131
223	43.63565199
224	43.62204399
225	43.61431778
226	43.60410878
227	43.58917611
228	43.57563706
229	43.55695024
230	43.54287871
231	43.52610317
232	43.51384128
233	43.5011905
234	43.48721252
235	43.4727426
236	43.46173037
237	43.45043256
238	43.43692846
239	43.42643013
240	43.41794657
241	43.40928271
242	43.3942305
243	43.37339591
244	43.36981251
245	43.36175197
246	43.34914759
247	43.33531882
248	43.32534348
249	43.31003352
250	43.29842981
251	43.29385222
252	43.28436249
253	43.25954731
254	43.24300837
255	43.23751455
256	43.22498832
257	43.20327997
258	43.19541292
259	43.18395184
260	43.17666184
261	43.17006488
262	43.16219881
263	43.153348
264	43.13817138
265	43.11881475
266	43.10342739
267	43.0973258
268	43.09239402
269	43.07422695
270	43.05823135
271	43.04565612
272	43.0329134
273	43.0236337
274	43.01874017
275	43.00563053
276	43.00323672
277	42.99671377
278	42.98956458
279	42.982219
280	42.96807009
281	42.94190213
282	42.9366093
283	42.92252662
284	42.90680126
285	42.89665929
286	42.88763633
287	42.88219016
288	42.86208695
289	42.847936
290	42.83638075
291	42.82726795
292	42.81593313
293	42.80253722
294	42.78160148
295	42.76696843
296	42.75399517
297	42.74809893
298	42.73725355
299	42.72774067
300	42.71553544
301	42.7086016
302	42.69616551
303	42.69105525
304	42.68254703
305	42.67818132
306	42.66522805
307	42.65182091
308	42.6427445
309	42.6366577
310	42.62709877
311	42.6160348
